Month aller super
2013-01-01 9949 309411
2013-02-01 4368 129540
2013-03-01 9833 290426
2013-04-01 8947 251980
2013-05-01 10173 296507
2013-06-01 8669 261582
2013-07-01 9373 311402
2013-08-01 8148 302790
2013-09-01 2903 98693
2013-10-01 7492 277235
2013-11-01 1250 43535
2013-12-01 7142 264994
2014-01-01 6342 231953
2014-02-01 5405 200117
2014-03-01 6080 222818
2014-04-01 5334 184611
2014-05-01 5347 213240
2014-06-01 4946 212885
2014-07-01 4589 185050
2014-08-01 3863 160024
2014-09-01 3753 145305
2014-10-01 4248 159782
2014-11-01 3573 151380
2014-12-01 4533 160157
2015-01-01 3500 157061
2015-02-01 3425 150436
2015-03-01 3243 166817
2015-04-01 2920 140815
2015-05-01 4512 153227
2015-06-01 2970 146148
2015-07-01 3151 130017
2015-08-01 3858 136479
2015-09-01 2752 134140
2015-10-01 3340 152838
2015-11-01 4084 150010
2015-12-01 3231 155194
2016-01-01 3500 138688
2016-02-01 2658 123314
2016-03-01 3040 132374
2016-04-01 3252 127475
2016-05-01 3580 150964
2016-06-01 3412 155575
2016-07-01 2499 143467
2016-08-01 2984 137911
2016-09-01 3610 126607
2016-10-01 2773 131117
2016-11-01 3131 129567
2016-12-01 3006 135524
2017-01-01 3565 131390
2017-02-01 3013 124929
2017-03-01 3385 171249
2017-04-01 3012 114678
2017-05-01 3346 135129
2017-06-01 2945 117358
2017-07-01 2919 120156
2017-08-01 2706 126570
2017-09-01 2296 116520
2017-10-01 2858 124804
2017-11-01 2948 136558
2017-12-01 4249 169604
2018-01-01 3445 163510
2018-02-01 4022 156341
2018-03-01 5576 185192
2018-04-01 3186 140861
2018-05-01 5724 163687
2018-06-01 3576 161232
2018-07-01 3492 147293
2018-08-01 4234 152077
2018-09-01 3790 153796
2018-10-01 3933 162831
2018-11-01 3605 152474
2018-12-01 4051 173145
2019-01-01 4269 170292
2019-02-01 4551 150240
2019-03-01 4407 200617
2019-04-01 4376 161514
2019-05-01 4464 198444
2019-06-01 3288 164694
2019-07-01 3579 152567
2019-08-01 3108 146959
2019-09-01 3883 153647
2019-10-01 3540 174701
2019-11-01 3586 168668
2019-12-01 4161 191708
2020-01-01 3998 179718
2020-02-01 4374 170904
2020-03-01 5140 211107
2020-04-01 4726 199644
2020-05-01 4602 190033
2020-06-01 4397 195301
2020-07-01 3583 180211
2020-08-01 5734 195794
2020-09-01 3398 171361
2020-10-01 4620 213877
2020-11-01 4028 191792
2020-12-01 4645 210347
