Month meest super
2013-01-01 311 1580
2013-02-01 330 308
2013-03-01 231 891
2013-04-01 257 702
2013-05-01 202 879
2013-06-01 206 629
2013-07-01 218 2541
2013-08-01 247 1554
2013-09-01 35 552
2013-10-01 201 2125
2013-11-01 21 262
2013-12-01 171 1411
2014-01-01 361 1355
2014-02-01 150 1023
2014-03-01 222 931
2014-04-01 159 950
2014-05-01 163 954
2014-06-01 130 886
2014-07-01 121 1113
2014-08-01 216 1083
2014-09-01 341 671
2014-10-01 119 782
2014-11-01 118 854
2014-12-01 187 1442
2015-01-01 280 1191
2015-02-01 168 643
2015-03-01 108 1037
2015-04-01 194 760
2015-05-01 127 790
2015-06-01 127 916
2015-07-01 183 739
2015-08-01 94 716
2015-09-01 97 598
2015-10-01 121 718
2015-11-01 117 832
2015-12-01 244 1191
2016-01-01 123 960
2016-02-01 192 513
2016-03-01 166 1252
2016-04-01 151 652
2016-05-01 129 519
2016-06-01 124 748
2016-07-01 135 605
2016-08-01 171 508
2016-09-01 138 602
2016-10-01 135 651
2016-11-01 121 454
2016-12-01 192 857
2017-01-01 244 1166
2017-02-01 134 1147
2017-03-01 172 690
2017-04-01 117 451
2017-05-01 127 616
2017-06-01 89 482
2017-07-01 153 501
2017-08-01 105 476
2017-09-01 104 533
2017-10-01 84 445
2017-11-01 174 594
2017-12-01 232 1194
2018-01-01 262 986
2018-02-01 91 619
2018-03-01 200 4330
2018-04-01 97 482
2018-05-01 144 451
2018-06-01 180 488
2018-07-01 246 415
2018-08-01 177 624
2018-09-01 326 560
2018-10-01 310 555
2018-11-01 188 407
2018-12-01 286 1319
2019-01-01 309 1051
2019-02-01 318 720
2019-03-01 188 747
2019-04-01 168 656
2019-05-01 108 788
2019-06-01 93 322
2019-07-01 216 485
2019-08-01 135 562
2019-09-01 116 468
2019-10-01 96 372
2019-11-01 103 369
2019-12-01 194 1255
2020-01-01 111 772
2020-02-01 127 487
2020-03-01 108 293
2020-04-01 137 348
2020-05-01 260 487
2020-06-01 140 547
2020-07-01 201 601
2020-08-01 119 397
2020-09-01 113 495
2020-10-01 163 450
2020-11-01 195 474
2020-12-01 335 849
