Month meest super
2013-01-01 29152 309411
2013-02-01 11746 129540
2013-03-01 28450 290426
2013-04-01 25002 251980
2013-05-01 27577 296507
2013-06-01 23970 261582
2013-07-01 28919 311402
2013-08-01 27505 302790
2013-09-01 8770 98693
2013-10-01 27897 277235
2013-11-01 4175 43535
2013-12-01 28538 264994
2014-01-01 32070 231953
2014-02-01 22320 200117
2014-03-01 25654 222818
2014-04-01 22534 184611
2014-05-01 22641 213240
2014-06-01 21176 212885
2014-07-01 20710 185050
2014-08-01 17725 160024
2014-09-01 17143 145305
2014-10-01 18698 159782
2014-11-01 18772 151380
2014-12-01 20845 160157
2015-01-01 22185 157061
2015-02-01 18457 150436
2015-03-01 18844 166817
2015-04-01 16820 140815
2015-05-01 18633 153227
2015-06-01 18548 146148
2015-07-01 16421 130017
2015-08-01 14035 136479
2015-09-01 17110 134140
2015-10-01 19014 152838
2015-11-01 18295 150010
2015-12-01 21213 155194
2016-01-01 19142 138688
2016-02-01 17615 123314
2016-03-01 17671 132374
2016-04-01 16037 127475
2016-05-01 16779 150964
2016-06-01 18818 155575
2016-07-01 15448 143467
2016-08-01 16456 137911
2016-09-01 17378 126607
2016-10-01 17583 131117
2016-11-01 17870 129567
2016-12-01 19065 135524
2017-01-01 22081 131390
2017-02-01 18349 124929
2017-03-01 23901 171249
2017-04-01 14183 114678
2017-05-01 17538 135129
2017-06-01 17704 117358
2017-07-01 17512 120156
2017-08-01 15819 126570
2017-09-01 14599 116520
2017-10-01 15527 124804
2017-11-01 21458 136558
2017-12-01 27491 169604
2018-01-01 28638 163510
2018-02-01 24871 156341
2018-03-01 29888 185192
2018-04-01 22596 140861
2018-05-01 23871 163687
2018-06-01 25728 161232
2018-07-01 22752 147293
2018-08-01 22414 152077
2018-09-01 26208 153796
2018-10-01 28509 162831
2018-11-01 23786 152474
2018-12-01 27363 173145
2019-01-01 27602 170292
2019-02-01 24656 150240
2019-03-01 32533 200617
2019-04-01 24301 161514
2019-05-01 30105 198444
2019-06-01 25853 164694
2019-07-01 24837 152567
2019-08-01 25646 146959
2019-09-01 26651 153647
2019-10-01 30059 174701
2019-11-01 28733 168668
2019-12-01 36091 191708
2020-01-01 28788 179718
2020-02-01 29137 170904
2020-03-01 39559 211107
2020-04-01 37744 199644
2020-05-01 34037 190033
2020-06-01 39213 195301
2020-07-01 32402 180211
2020-08-01 32043 195794
2020-09-01 30061 171361
2020-10-01 38770 213877
2020-11-01 34167 191792
2020-12-01 36475 210347
